'RawData - Storage 161900 - 0.5ml.spc'
'Wavelength nm.','Abs.'
300.00,0.408
300.50,0.401
301.00,0.393
301.50,0.385
302.00,0.377
302.50,0.369
303.00,0.361
303.50,0.353
304.00,0.344
304.50,0.336
305.00,0.329
305.50,0.322
306.00,0.316
306.50,0.308
307.00,0.300
307.50,0.292
308.00,0.285
308.50,0.277
309.00,0.271
309.50,0.264
310.00,0.257
310.50,0.251
311.00,0.245
311.50,0.240
312.00,0.234
312.50,0.229
313.00,0.224
313.50,0.219
314.00,0.214
314.50,0.210
315.00,0.205
315.50,0.202
316.00,0.198
316.50,0.194
317.00,0.191
317.50,0.188
318.00,0.185
318.50,0.183
319.00,0.181
319.50,0.179
320.00,0.177
320.50,0.176
321.00,0.175
321.50,0.173
322.00,0.172
322.50,0.172
323.00,0.173
323.50,0.173
324.00,0.173
324.50,0.174
325.00,0.175
325.50,0.176
326.00,0.178
326.50,0.179
327.00,0.182
327.50,0.184
328.00,0.187
328.50,0.190
329.00,0.193
329.50,0.197
330.00,0.201
330.50,0.206
331.00,0.211
331.50,0.216
332.00,0.223
332.50,0.229
333.00,0.237
333.50,0.244
334.00,0.253
334.50,0.262
335.00,0.271
335.50,0.282
336.00,0.292
336.50,0.303
337.00,0.315
337.50,0.329
338.00,0.342
338.50,0.355
339.00,0.368
339.50,0.382
340.00,0.397
340.50,0.414
341.00,0.429
341.50,0.444
342.00,0.458
342.50,0.472
343.00,0.487
343.50,0.502
344.00,0.516
344.50,0.531
345.00,0.544
345.50,0.557
346.00,0.570
346.50,0.582
347.00,0.594
347.50,0.605
348.00,0.617
348.50,0.627
349.00,0.639
349.50,0.648
350.00,0.657
350.50,0.665
351.00,0.674
351.50,0.684
352.00,0.691
352.50,0.699
353.00,0.708
353.50,0.715
354.00,0.724
354.50,0.733
355.00,0.741
355.50,0.748
356.00,0.755
356.50,0.763
357.00,0.772
357.50,0.780
358.00,0.789
358.50,0.797
359.00,0.805
359.50,0.816
360.00,0.824
360.50,0.832
361.00,0.842
361.50,0.851
362.00,0.861
362.50,0.870
363.00,0.880
363.50,0.890
364.00,0.900
364.50,0.913
365.00,0.921
365.50,0.929
366.00,0.942
366.50,0.952
367.00,0.963
367.50,0.974
368.00,0.984
368.50,0.996
369.00,1.006
369.50,1.017
370.00,1.028
370.50,1.041
371.00,1.051
371.50,1.061
372.00,1.072
372.50,1.083
373.00,1.095
373.50,1.108
374.00,1.114
374.50,1.129
375.00,1.140
375.50,1.151
376.00,1.161
376.50,1.170
377.00,1.182
377.50,1.191
378.00,1.202
378.50,1.215
379.00,1.223
379.50,1.236
380.00,1.246
380.50,1.257
381.00,1.265
381.50,1.276
382.00,1.286
382.50,1.298
383.00,1.307
383.50,1.318
384.00,1.328
384.50,1.341
385.00,1.353
385.50,1.361
386.00,1.372
386.50,1.383
387.00,1.397
387.50,1.408
388.00,1.419
