'RawData - Storage 162117 - 1.5ml_diluted2.spc'
'Wavelength nm.','Abs.'
300.00,0.127
300.50,0.124
301.00,0.122
301.50,0.120
302.00,0.117
302.50,0.115
303.00,0.113
303.50,0.110
304.00,0.108
304.50,0.105
305.00,0.103
305.50,0.101
306.00,0.099
306.50,0.097
307.00,0.094
307.50,0.092
308.00,0.090
308.50,0.087
309.00,0.085
309.50,0.084
310.00,0.081
310.50,0.079
311.00,0.078
311.50,0.076
312.00,0.074
312.50,0.073
313.00,0.071
313.50,0.069
314.00,0.068
314.50,0.067
315.00,0.065
315.50,0.064
316.00,0.063
316.50,0.061
317.00,0.060
317.50,0.059
318.00,0.059
318.50,0.058
319.00,0.057
319.50,0.057
320.00,0.056
320.50,0.056
321.00,0.055
321.50,0.055
322.00,0.055
322.50,0.054
323.00,0.055
323.50,0.054
324.00,0.055
324.50,0.055
325.00,0.056
325.50,0.056
326.00,0.057
326.50,0.057
327.00,0.058
327.50,0.059
328.00,0.059
328.50,0.061
329.00,0.061
329.50,0.062
330.00,0.064
330.50,0.065
331.00,0.066
331.50,0.068
332.00,0.070
332.50,0.072
333.00,0.074
333.50,0.076
334.00,0.079
334.50,0.082
335.00,0.085
335.50,0.088
336.00,0.091
336.50,0.095
337.00,0.099
337.50,0.103
338.00,0.107
338.50,0.111
339.00,0.116
339.50,0.120
340.00,0.124
340.50,0.129
341.00,0.133
341.50,0.137
342.00,0.141
342.50,0.147
343.00,0.150
343.50,0.155
344.00,0.160
344.50,0.164
345.00,0.168
345.50,0.172
346.00,0.176
346.50,0.179
347.00,0.183
347.50,0.186
348.00,0.189
348.50,0.192
349.00,0.197
349.50,0.199
350.00,0.202
350.50,0.205
351.00,0.207
351.50,0.210
352.00,0.212
352.50,0.215
353.00,0.217
353.50,0.220
354.00,0.223
354.50,0.225
355.00,0.227
355.50,0.230
356.00,0.232
356.50,0.234
357.00,0.237
357.50,0.239
358.00,0.242
358.50,0.244
359.00,0.247
359.50,0.250
360.00,0.252
360.50,0.255
361.00,0.258
361.50,0.260
362.00,0.263
362.50,0.266
363.00,0.269
363.50,0.272
364.00,0.275
