'RawData - Storage 160111 - 2ml_diluted2.spc'
'Wavelength nm.','Abs.'
300.00,0.517
300.50,0.508
301.00,0.498
301.50,0.488
302.00,0.478
302.50,0.468
303.00,0.458
303.50,0.447
304.00,0.437
304.50,0.428
305.00,0.418
305.50,0.410
306.00,0.401
306.50,0.391
307.00,0.382
307.50,0.372
308.00,0.363
308.50,0.355
309.00,0.347
309.50,0.339
310.00,0.331
310.50,0.323
311.00,0.316
311.50,0.309
312.00,0.302
312.50,0.296
313.00,0.289
313.50,0.284
314.00,0.278
314.50,0.273
315.00,0.267
315.50,0.263
316.00,0.258
316.50,0.254
317.00,0.249
317.50,0.246
318.00,0.243
318.50,0.240
319.00,0.237
319.50,0.234
320.00,0.232
320.50,0.231
321.00,0.229
321.50,0.228
322.00,0.227
322.50,0.226
323.00,0.226
323.50,0.226
324.00,0.227
324.50,0.227
325.00,0.229
325.50,0.230
326.00,0.232
326.50,0.235
327.00,0.237
327.50,0.240
328.00,0.243
328.50,0.247
329.00,0.251
329.50,0.256
330.00,0.262
330.50,0.269
331.00,0.275
331.50,0.282
332.00,0.290
332.50,0.299
333.00,0.308
333.50,0.318
334.00,0.329
334.50,0.341
335.00,0.353
335.50,0.366
336.00,0.379
336.50,0.393
337.00,0.409
337.50,0.425
338.00,0.443
338.50,0.460
339.00,0.476
339.50,0.495
340.00,0.512
340.50,0.531
341.00,0.551
341.50,0.570
342.00,0.590
342.50,0.609
343.00,0.627
343.50,0.645
344.00,0.664
344.50,0.683
345.00,0.701
345.50,0.719
346.00,0.736
346.50,0.754
347.00,0.768
347.50,0.785
348.00,0.802
348.50,0.816
349.00,0.830
349.50,0.844
350.00,0.855
350.50,0.870
351.00,0.884
351.50,0.895
352.00,0.908
352.50,0.921
353.00,0.932
353.50,0.943
354.00,0.956
354.50,0.966
355.00,0.978
355.50,0.990
356.00,1.000
356.50,1.012
357.00,1.023
357.50,1.036
358.00,1.047
358.50,1.061
359.00,1.071
359.50,1.083
360.00,1.097
360.50,1.113
361.00,1.122
361.50,1.139
362.00,1.148
362.50,1.164
363.00,1.175
363.50,1.189
364.00,1.204
364.50,1.221
365.00,1.232
365.50,1.246
366.00,1.256
366.50,1.274
367.00,1.291
367.50,1.306
368.00,1.319
368.50,1.340
369.00,1.354
369.50,1.368
370.00,1.383
370.50,1.396
371.00,1.411
371.50,1.427
372.00,1.439
372.50,1.458
373.00,1.474
373.50,1.488
374.00,1.505
374.50,1.515
375.00,1.536
375.50,1.546
376.00,1.560
376.50,1.575
377.00,1.592
377.50,1.602
378.00,1.617
378.50,1.633
379.00,1.639
379.50,1.656
380.00,1.674
380.50,1.685
381.00,1.699
381.50,1.718
382.00,1.732
382.50,1.738
383.00,1.748
383.50,1.768
384.00,1.785
384.50,1.793
385.00,1.810
385.50,1.823
386.00,1.844
386.50,1.855
387.00,1.866
387.50,1.883
388.00,1.897
388.50,1.910
389.00,1.925
389.50,1.937
390.00,1.966
390.50,1.980
391.00,1.989
391.50,2.006
392.00,2.017
392.50,2.037
393.00,2.053
393.50,2.062
394.00,2.082
394.50,2.113
395.00,2.126
395.50,2.141
396.00,2.160
396.50,2.176
397.00,2.186
397.50,2.201
398.00,2.214
398.50,2.244
399.00,2.262
399.50,2.289
400.00,2.301
400.50,2.314
401.00,2.329
401.50,2.348
402.00,2.368
402.50,2.377
403.00,2.407
403.50,2.420
404.00,2.433
404.50,2.475
405.00,2.489
405.50,2.509
406.00,2.512
406.50,2.512
407.00,2.540
407.50,2.571
408.00,2.585
408.50,2.623
409.00,2.614
409.50,2.642
410.00,2.640
410.50,2.643
411.00,2.681
411.50,2.713
412.00,2.712
412.50,2.719
413.00,2.740
413.50,2.792
414.00,2.768
414.50,2.771
415.00,2.810
415.50,2.837
416.00,2.814
416.50,2.818
417.00,2.815
417.50,2.837
418.00,2.831
418.50,2.851
419.00,2.865
419.50,2.868
420.00,2.854
420.50,2.881
421.00,2.893
421.50,2.915
422.00,2.906
422.50,2.911
423.00,2.896
423.50,2.899
424.00,2.912
424.50,2.914
425.00,2.924
425.50,2.904
426.00,2.910
426.50,2.941
427.00,2.944
427.50,2.910
428.00,2.903
428.50,2.901
429.00,2.925
